[CLIENT ERROR] Msg: Attached click listener to #ui-mode-toggle successfully | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: Document level delegate: UI mode switch clicked! Target tag: DIV, Class: mode-toggle-item all | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: toggleUIMode executed. Prev: classic, Current: all | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: Document level delegate: UI mode switch clicked! Target tag: DIV, Class: mode-toggle-item classic | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: toggleUIMode executed. Prev: all, Current: classic | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: Document level delegate: UI mode switch clicked! Target tag: DIV, Class: mode-toggle-item all | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: toggleUIMode executed. Prev: classic, Current: all | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: toggleUIMode executed. Prev: all, Current: classic | Src: None | Line: None:None | Stack: None
c | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: toggleUIMode executed. Prev: classic, Current: all | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: Document level delegate: UI mode switch clicked! Target tag: DIV, Class: mode-toggle-item all | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: Document level delegate: UI mode switch clicked! Target tag: DIV, Class: mode-toggle-item classic | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: toggleUIMode executed. Prev: all, Current: classic | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: Document level delegate: UI mode switch clicked! Target tag: DIV, Class: mode-toggle-item all | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: toggleUIMode executed. Prev: classic, Current: all | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: Document level delegate: UI mode switch clicked! Target tag: DIV, Class: mode-toggle-item classic | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: toggleUIMode executed. Prev: all, Current: classic | Src: None | Line: None:None | Stack: None
[CLIENT ERROR] Msg: Document level delegate: UI mode switch clicked! Target tag: DIV, Class: mode-toggle-item all | Src: None | Line: None:None | Stack: None
